Name,Vendor ID,SMILES,CollectionName,Internal ID,MDR1-MDCK Papp_A2B (nm/s),MDR1-MDCK Papp_B2A (nm/s),MDR1-MDCK Recovery_A2B,MDR1-MDCK Recovery_B2A,LOG MDR1-MDCK ER (B-A/A-B),MDR1-MDCK Papp_A2B (cm/s),MDR1-MDCK Papp_B2A (nm/s),LOG10 MDR1-MDCK Papp_A2B (cm/s),LOG 10 MDR1-MDCK Papp_B2A (nm/s),LOG 10 ER Calc
110118917,110118917,O=C(Nc1cccc(c1)-c1nncn1C1CC1)c1cc(ccn1)-n1cnc(c1)C1CC1,emolecules,Mol42,7.47,346,92,88,1.666517981,0.000000747,0.0000346,-6.126679398,-4.460923901,1.665755497
207447,207447,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,emolecules,Mol43,142,320,78,82,0.354108439,0.0000142,0.000032,-4.847711656,-4.494850022,0.352861634
313516892,313516892,Cc1nccc(n1)-c1cn(c2cnccc12)Cc1ccccc1,emolecules,Mol44,209,141,65,62,-0.170696227,0.0000209,0.0000141,-4.679853714,-4.850780887,-0.170927173
168892617,168892617,CCc1nc(cn2nc(cc12)C1=CC(=O)N2C=C(C=C(C)C2=N1)C1CCN(C)CC1)C,emolecules,Mol45,29.185,166.3925,70.75,84.25,0.761363942,2.9185E-06,1.66393E-05,-5.534840302,-4.778866253,0.755974049
49863827,49863827,Nc1ncnc2n(nc(c12)-c1ccc(cc1)Oc1ccccc1)[C@@H]1CCCNC1 |r|,emolecules,Mol47,19.4,407,89,104,1.322219295,0.00000194,0.0000407,-5.71219827,-4.390405591,1.321792679
53790787,53790787,CC(CN(C)Cc1nnc(n1C)C)Oc1ccc(c(c1)Cl)Cl,emolecules,Mol48,60,425,96,101,0.850646235,0.000006,0.0000425,-5.22184875,-4.37161107,0.85023768
45816980,45816980,COc1nn(cc1C(=O)Nc1cccc(c1)-c1cnc2n1CCC2)C,emolecules,Mol49,39,371,92,96,0.979092901,0.0000039,0.0000371,-5.408935393,-4.43062609,0.978309303
89942308,89942308,COc1cc(ccc1-c1ncnc(n1)Nc1cccc(c1)C[S@@](=N)(=O)C)F |r|,emolecules,Mol50,2.31,346,97,99,2.176091259,0.000000231,0.0000346,-6.63638802,-4.460923901,2.175464119
139133,139133,CN(C)C(=O)C1(CCN(CC1)C(=O)c1ccc(s1)C)Cc1ccccc1-c1ccccc1,emolecules,Mol52,268,300,82,54,0.049218023,0.0000268,0.00003,-4.571865206,-4.522878745,0.048986461
89942282,89942282,CCc1nc2c(cc(cn2c1N(C)c1nc(c(s1)C#N)-c1ccc(cc1)F)N1CCN(CC1)CC(=O)N1CC(O)C1)C,emolecules,Mol53,4.07,395,92.5,124.5,1.991078331,0.000000407,0.0000395,-6.390405591,-4.403402904,1.987002686
139117,139117,CN(C)C(=O)C1(CCN(CC1)C(=O)C1CCCO1)Cc1ccccc1-c1ccccc1,emolecules,Mol55,25.5,441,105,126,1.238046103,0.00000255,0.0000441,-5.59345982,-4.355561411,1.237898409
202525,202525,CC(=O)Nc1ccc(cc1)C(=O)N1CCCCC1c1nc(ncc1-c1ccc(cc1)Cl)N,emolecules,Mol56,3.53,376,78,85,2.025305865,0.000000353,0.0000376,-6.452225295,-4.424812155,2.02741314
202527,202527,CC(=O)Nc1ccc(cc1)C(=O)N1CCCCC1c1nc(ncc1-c1cccc(c1)Cl)N,emolecules,Mol57,4.01,393,90,88,1.991226076,0.000000401,0.0000393,-6.396855627,-4.40560745,1.991248178
31929526,31929526,FC(F)(F)c1ccnc(n1)Nc1ccc(nc1)N1CCNC(=O)C1,emolecules,Mol58,85.7,252,78,84,0.46834733,0.00000857,0.0000252,-5.067019178,-4.598599459,0.468419719
189638257,189638257,FC(F)(F)c1ccccc1C1N(CCNC1=O)C(=O)c1ccc2nccn2c1,emolecules,Mol59,8.46,60.5,101,86,0.854306042,0.000000846,0.00000605,-6.072629637,-5.218244625,0.854385012
189741166,189741166,Cc1cc(ccc1C1N(CCNC1=O)C(=O)c1ccc2nccn2c1)F,emolecules,Mol60,11.2,94.3,94,98,0.925312092,0.00000112,0.00000943,-5.950781977,-5.025488307,0.92529367
49311027,49311027,Clc1ccccc1C1N(CCNC1=O)C(=O)c1ccncc1,emolecules,Mol61,39.8,178,99,97,0.649334859,0.00000398,0.0000178,-5.400116928,-4.749579998,0.65053693
1284751,1284751,C[C@@H]1CN(C[C@H](C)O1)C(=O)CC(c1ccccc1)c1ccccc1 |r|,emolecules,Mol62,235,308,96,90,0.117271296,0.0000235,0.0000308,-4.628932138,-4.511449283,0.117482854
299989682,299989682,CN1[C@@H]2CC[C@H]1C[C@@H](C2)OC(c1ccccc1)c1ccccc1 |r|,emolecules,Mol63,31.4,267.5,73,89,0.948657432,0.00000314,0.00002675,-5.503070352,-4.572676214,0.930394138
140075,140075,CC(C)(C)C(=O)N1CCC(CC1)(Cc1ccc(cc1)-c1cccs1)C(=O)N1CCCC1,emolecules,Mol64,299,299,93,67,-8.69E-04,0.0000299,0.0000299,-4.524328812,-4.524328812,0
200967,200967,CN(C)c1ncc(c(n1)C1CCCCN1C(=O)c1scnc1C)-c1cccc(c1)Cl,emolecules,Mol66,304,389,97,70,0.10720997,0.0000304,0.0000389,-4.517126416,-4.410050399,0.107076018
32236728,32236728,OCC1CCCCN1Cc1ccc(c(c1)Cl)Cl,emolecules,Mol67,304,159,99,87,-0.280668713,0.0000304,0.0000159,-4.517126416,-4.798602876,-0.281476459
48337674,48337674,CC(=O)N1CCN(CC1)c1nc(nc2sc(c(c12)C)C)C(F)(F)F,emolecules,Mol68,267,327,90,83,0.086359831,0.0000267,0.0000327,-4.573488739,-4.485452247,0.088036491
180601629,180601629,COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,emolecules,Mol69,94.9,23.4,37,50,-0.607303047,0.00000949,0.00000234,-5.022733788,-5.630784143,-0.608050355
17268136,17268136,C1CN(CCO1)CCN(Cc1cccnc1)Cc1cccc(c1)Oc1ccccc1,emolecules,Mol70,179,239,78,72,0.123851641,0.0000179,0.0000239,-4.747146969,-4.621602099,0.12554487
32449297,32449297,COc1ccc(cc1)[C@H]1CN([C@@H]2CCCN(Cc3cccc(c3)F)[C@@H]21)C(=O)C |r|,emolecules,Mol71,164,222,72,75,0.130333768,0.0000164,0.0000222,-4.785156152,-4.653647026,0.131509126
324071118,324071118,CC(C)Oc1cc(ccc1Nc1ncnc2sc(c(c12)C)C(=O)NCCCN(C)C)F,emolecules,Mol72,5.37,192.5,66,77,1.772688355,0.000000537,0.00001925,-6.270025714,-4.715569266,1.554456448
2066408,2066408,OCC1CCCCN1Cc1ccc(cc1)-c1ccccc1,emolecules,Mol73,142,101,64,82,-0.149966742,0.0000142,0.0000101,-4.847711656,-4.995678626,-0.147966971
89942016,89942016,Nc1ncc(c2ccc(nc12)-c1cccc(c1)F)C(=O)NC1CN(C1)C(=O)C1CC1,emolecules,Mol74,11.7,211,92,79,1.257678575,0.00000117,0.0000211,-5.931814138,-4.675717545,1.256096594
72973189,72973189,CC1(C)CC(CC(C)(C)N1)Oc1ccc(nn1)-c1ccc(cc1O)-c1cn[nH]c1,emolecules,Mol75,14.58888888888889,262.5588888888889,86.66666666666667,89.33333333333333,1.31227141,1.45889E-06,2.62559E-05,-5.835977783,-4.580773274,1.255204509
32234428,32234428,CS(=O)c1ccc(cc1)-c1coc2ccc(cc12)-c1nnc(o1)C,emolecules,Mol76,206,409,90,99,0.29666519,0.0000206,0.0000409,-4.68613278,-4.388276692,0.297856088
202517,202517,Cc1ncsc1C(=O)N1CCCCC1c1nc(ncc1-c1cccc(c1)C(F)(F)F)N,emolecules,Mol77,36.2,332,64,81,0.962369336,0.00000362,0.0000332,-5.441291429,-4.478861916,0.962429513
45636709,45636709,O=C(Nc1ccc2ccccc2n1)c1ccc(cc1)N1CCOC1=O,emolecules,Mol78,85.4,50.7,43,56,-0.226213555,0.00000854,0.00000507,-5.068542129,-5.294992041,-0.226449911
300003450,300003450,O=S(=O)(N1CCCNCC1)c1cccc2cnccc12,emolecules,Mol80,82.66666666666667,305.6666666666667,105.3333333333333,105.3333333333333,0.645422269,8.26667E-06,3.05667E-05,-5.082669574,-4.514751919,0.567917655
317744209,317744209,CN1CCN(CC1)c1ccc(cc1)Nc1nc(c2occc2n1)Oc1cccc(c1)NC(=O)C=C,emolecules,Mol81,12,265,90,80,1.342422681,0.0000012,0.0000265,-5.920818754,-4.576754126,1.344064628
13329354,13329354,CCN1CCN(CC1)S(=O)(=O)Cc1ccc(c(c1)Cl)Cl,emolecules,Mol82,415,170,111,85,-0.387216143,0.0000415,0.000017,-4.381951903,-4.769551079,-0.387599175
49837463,49837463,O=C(Nc1nc2cccc(n2n1)-c1ccc(cc1)CN1CCS(=O)(=O)CC1)C1CC1,emolecules,Mol83,2.45,333,96,108,2.133538908,0.000000245,0.0000333,-6.610833916,-4.477555766,2.133278149
42902190,42902190,CC1CN(CCC1Nc1ccc2nnnn2n1)Cc1cnc(s1)C,emolecules,Mol91,6.73,185,94,106,1.439332694,0.000000673,0.0000185,-6.171984936,-4.732828272,1.439156664
210343,210343,Cc1nc(cc(n1)C1CN(C1)c1ncccn1)Nc1nccs1,emolecules,Mol92,72.3,105,47,67,0.161368002,0.00000723,0.0000105,-5.140861703,-4.978810701,0.162051002
32538596,32538596,COc1ccc(cc1Cl)Nc1c(cnc2cc(c(cc12)OC)OC)C#N,emolecules,Mol93,104,337,67,60,0.51054501,0.0000104,0.0000337,-4.982966661,-4.472370099,0.510596562
50614392,50614392,COc1ccc(cc1F)CCCN1CCN(C(=O)C1)c1cnn(c1)C,emolecules,Mol94,326,239,103,96,-0.13430394,0.0000326,0.0000239,-4.4867824,-4.621602099,-0.134819699
36933671,36933671,CC1CN(CC(O1)c1ccccc1)C(=O)c1c(noc1C(C)C)C,emolecules,Mol95,265,250,96,81,-0.025488307,0.0000265,0.000025,-4.576754126,-4.602059991,-0.025305865
31246617,31246617,CN(Cc1ccccc1)C1(Cc2ccccc2C1)C(=O)N1CCNC(=O)CC1,emolecules,Mol96,43.1,373,68,76,0.938019097,0.00000431,0.0000373,-5.36552273,-4.428291168,0.937231562
43278877,43278877,Cc1c(cccc1NC(=O)CN1[C@H](Cc2ccccc2)C[C@]2(C)NC(=O)CCC[C@H]12)F |r|,emolecules,Mol97,36.4,451,94,98,1.093421685,0.00000364,0.0000451,-5.438898616,-4.345823458,1.093075158
901943,901943,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O |r|,emolecules,Mol98,3.98,273,96,90,1.836324116,0.000000398,0.0000273,-6.400116928,-4.563837353,1.836279575
300011391,300011391,Oc1nccc2c(cccc12)S(=O)(=O)N1CCCNCC1,emolecules,Mol99,6.485,52.8,100,102.5,0.915399835,6.485E-07,0.00000528,-6.18809002,-5.277366077,0.910723942
43280049,43280049,Cc1ccc(cc1F)NC(=O)CN1[C@H](Cc2ccccc2)C[C@]2(C)NC(=O)CCC[C@H]12 |r|,emolecules,Mol100,28,346,80,71,1.093421685,0.0000028,0.0000346,-5.552841969,-4.460923901,1.091918067
139303,139303,CN(C)C(=O)C1(CCN(CC1)C(=O)C1CCC=CC1)Cc1ccccc1-c1cccc(c1)F,emolecules,Mol101,223,325,92,75,0.164352856,0.0000223,0.0000325,-4.651695137,-4.488116639,0.163578498
139341,139341,COCC(=O)N1CCC(CC1)(Cc1ccccc1-c1cccc(c1)F)C(=O)NC(C)C,emolecules,Mol102,15,496,91,109,1.519827994,0.0000015,0.0000496,-5.823908741,-4.304518324,1.519390417
29261445,29261445,COc1ccc(cc1)CNC(=O)c1sc2nc(cc(c2c1N)C)C,emolecules,Mol103,108,41.5,44,52,-0.413412695,0.0000108,0.00000415,-4.966576245,-5.381951903,-0.415375659
324007832,324007832,CC[C@@](C)(NC(=O)c1cc(cnc1NC1CC(F)(F)C1)F)C#C |r|,emolecules,Mol104,212,170,79,63,-0.095825632,0.0000212,0.000017,-4.673664139,-4.769551079,-0.09588694
320364216,320364216,Cn1cc(cn1)Nc1nc(nc(n1)-c1cccc(c1CO)N1C=Cc2cc(cc(c2C1=O)F)C1CC1)N,emolecules,Mol105,7.87,192,87,76,1.385606274,0.000000787,0.0000192,-6.104025268,-4.716698771,1.387326496
496510,496510,Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,emolecules,Mol106,1.07,205,101,105,2.281033367,0.000000107,0.0000205,-6.970616222,-4.688246139,2.282370083
393408,393408,CNC(=O)C1(CCN(Cc2ccc(cc2)F)C1)Cc1ccc(cc1)-c1cccnc1,emolecules,Mol107,130,199,75,78,0.184691431,0.000013,0.0000199,-4.886056648,-4.701146924,0.184909724
393424,393424,CNC(=O)C1(CCN(Cc2cccc(c2)F)C1)Cc1ccc(cc1)-c1cccnc1,emolecules,Mol108,114,150,63,77,0.120573931,0.0000114,0.000015,-4.943095149,-4.823908741,0.119186408
270775,270775,Fc1ccccc1C[C@@H]1C[C@@H]2NC(=O)CCCC[C@H]2N1C(=O)c1cccc2ncccc12 |r|,emolecules,Mol110,9.27,446,94,104,1.682145076,0.000000927,0.0000446,-6.032920266,-4.350665141,1.682255125
MCULE-3611790330,,CCOc1cc(ccc1C(=O)O)CC(=O)N[C@@H](CC(C)C)c1ccccc1N1CCCCC1 |r|,mcule,Mol111,12,344,96,98,1.457881897,0.0000012,0.0000344,-5.920818754,-4.463441557,1.457377197
323968411,323968411,CC(O)(C#Cc1ccc2c(c1)N(CC2)c1nc(ncc1Cl)N)c1nccs1,emolecules,Mol112,23.4,134,70,58,0.759667845,0.00000234,0.0000134,-5.630784143,-4.872895202,0.757888941
46088801,46088801,COCCc1noc(n1)CN1CC(CCC1=O)(c1ccccc1)c1ccccc1,emolecules,Mol113,136,329,69,77,0.385606274,0.0000136,0.0000329,-4.866461092,-4.482804102,0.38365699
44392699,44392699,Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,emolecules,Mol114,102,344,100,102,0.526339277,0.0000102,0.0000344,-4.991399828,-4.463441557,0.527958271
49942166,49942166,Cc1oc2ccccc2c1CNc1nnc(o1)-c1ccncc1,emolecules,Mol115,174,177,71,76,0.008600172,0.0000174,0.0000177,-4.759450752,-4.752026734,0.007424018
29371307,29371307,Nc1ncnc2n(nc(c12)-c1cnc2[nH]ccc2c1)C1CCCC1,emolecules,Mol118,73,504,78,93,0.838849091,0.0000073,0.0000504,-5.13667714,-4.297569464,0.839107676
320368312,320368312,Clc1ccc(cc1)-c1ccncc1NC(=O)c1ccnc(c1)NC(=O)C1CC1,emolecules,Mol119,75.9,222,74,80,0.46686762,0.00000759,0.0000222,-5.119758224,-4.653647026,0.466111199
89942274,89942274,CN1C(=N[C@@](C)(CS1(=O)=O)c1cc(ccc1F)NC(=O)c1ccc(cn1)F)N |r|,emolecules,Mol120,2.83,264,90,102,1.970346876,0.000000283,0.0000264,-6.548213564,-4.578396073,1.969817491
44550372,44550372,CC1CN(CC(O1)c1ccccc1)C(=O)c1cccnc1N1CCOCC1,emolecules,Mol121,85.2,445,89,99,0.717670503,0.00000852,0.0000445,-5.069560405,-4.351639989,0.717920416
511449,511449,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,emolecules,Mol122,144,256,96,99,0.250420002,0.0000144,0.0000256,-4.841637508,-4.591760035,0.249877473
197915,197915,Cc1cc(cc(n1)C1CCCN(C1)CC(=O)N1CCCC1)Nc1cnccn1,emolecules,Mol123,3.68,98.4,90,98,1.426511261,0.000000368,0.00000984,-6.434152181,-5.007004902,1.42714728
198953,198953,Cc1cccnc1Nc1cccc(n1)C1CCCN(C1)CC(=O)Nc1nccs1,emolecules,Mol124,93.6,139,67,68,0.173186268,0.00000936,0.0000139,-5.028724151,-4.8569852,0.171738952
139135,139135,CN(C)C(=O)C1(CCN(CC1)C(=O)c1cnn(c1)C)Cc1ccccc1-c1ccccc1,emolecules,Mol125,21.9,549,96,109,1.399673721,0.00000219,0.0000549,-5.659555885,-4.260427656,1.39912823
2566233,2566233,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(cc1)Br,emolecules,Mol126,110,370,77,88,0.5289167,0.000011,0.000037,-4.958607315,-4.431798276,0.526809039
49383448,49383448,CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)-c1cnc(c(n1)C(=O)Nc1cccnc1)N,emolecules,Mol127,1.88,136,80,60,1.859738566,0.000000188,0.0000136,-6.725842151,-4.866461092,1.859381059
393410,393410,CNC(=O)C1(CCN(Cc2ccccc2Cl)C1)Cc1ccc(cc1)-c1cccnc1,emolecules,Mol128,127,122,45,66,-0.017276612,0.0000127,0.0000122,-4.896196279,-4.913640169,-0.01744389
43366900,43366900,Cc1nc(c(c2ccc(cc12)Oc1ccccc1)O)C(=O)NCC(=O)O,emolecules,Mol141,346,425,,,0.089905111,0.0000346,0.0000425,-4.460923901,-4.37161107,0.089312831
Z29433525,Z29433525,Clc1cc(cnc1Cl)C(=O)Nc1nc-2c(s1)COc1ccccc12,enamineHTS,Mol144,9.88,10.1,,,0.008600172,0.000000988,0.00000101,-6.005243055,-5.995678626,0.009564429
2728688,2728688,COc1ccccc1Oc1c(nc(nc1OCCO)-c1ncccn1)NS(=O)(=O)c1ccc(cc1)C(C)(C)C,emolecules,Mol145,2.56,226,,,1.945468585,0.000000256,0.0000226,-6.591760035,-4.645891561,1.945868474
44384801,44384801,CCCNS(=O)(=O)Nc1ncnc(c1-c1ccc(cc1)Br)OCCOc1ncc(cn1)Br,emolecules,Mol146,89.8,83.8,,,-0.030118356,0.00000898,0.00000838,-5.046723663,-5.076755981,-0.030032318
301048201,301048201,CC(C)(C)c1ccc(cc1)C(=O)Nc1cn2cc(ccc2n1)-n1ccnc1,emolecules,Mol147,117,334,,,0.45484486,0.0000117,0.0000334,-4.931814138,-4.476253533,0.455560605
106928257,106928257,FC(F)(F)c1cc(n2nc(nc2c1)NC(=O)c1cccnc1)NC1CC1,emolecules,Mol148,132.5,310.5,,,0.371067862,0.00001325,0.00003105,-4.877784122,-4.507938395,0.369845726
315276693,315276693,COc1cc(ccc1N1CCN(C)CC1)Nc1cc(ccn1)-c1cccc(c1)C#N,emolecules,Mol149,35.7,137,,,0.58546073,0.00000357,0.0000137,-5.447331784,-4.863279433,0.584052351
LN00130941,LN00130941,COC([C@H](Oc1nc(cc(n1)C)C)C(=O)O)(c1ccccc1)c1ccccc1 |r|,labnetworkBB,Mol150,3.94,151,,,1.583198774,0.000000394,0.0000151,-6.404503778,-4.821023053,1.583480725
50282202,50282202,CCS(=O)(=O)N1CCN(CC1)c1ccc(cc1)Nc1ncc(c(n1)NC1CC1)C(=O)N,emolecules,Mol151,7.1,280,,,1.595496222,0.00000071,0.000028,-6.148741651,-4.552841969,1.595899683
313091037,313091037,OC(=O)C1CN(C1)Cc1ccc(cc1)OCc1ccc(c(c1)Cl)Cl,emolecules,Mol152,39,160,,,0.612783857,0.0000039,0.000016,-5.408935393,-4.795880017,0.613055376
71008775,71008775,CC(C)n1cnnc1-c1cccc(n1)NC(=O)c1cc(c(cc1F)C)-n1cnc(c1)C1CC1,emolecules,Mol155,7.33,538.4,101.5,86.5,1.800442121,0.000000733,0.00005384,-6.134896025,-4.268894949,1.866001077
60180599,60180599,CC(C)(C)OC(=O)c1ccc(nc1)N1NC=C(C1=O)n1ccnn1,emolecules,Mol156,154,184,,,0.075546961,0.0000154,0.0000184,-4.812479279,-4.735182177,0.077297102
104336645,104336645,C[C@H]1CN(CCN1c1ccc(nc1)NC1=CC(=CN(C)C1=O)c1ccnc(c1CO)N1CCn2c3c(cc2C1=O)CC(C)(C)C3)C1COC1 |r|,emolecules,Mol157,6.02,139,,,1.36361198,0.000000602,0.0000139,-6.220403509,-4.8569852,1.363418309
315272596,315272596,Nc1ncc(cc1C(F)(F)F)-c1cc(n(n1)CC1CC1)C1C2CN(CC21)C1COC1,emolecules,Mol158,173,189,,,0.037426498,0.0000173,0.0000189,-4.761953897,-4.723538196,0.038415701
46339059,46339059,COCCOc1ccc(cc1)Nc1ncc(c(n1)Nc1cccc(c1)NC(=O)C=C)F,emolecules,Mol160,13.5,55.35,36.5,54.5,0.596047008,0.00000135,0.000005535,-5.869666232,-5.256882375,0.612783857
49424084,49424084,CNC(=O)c1cc(ccn1)Oc1ccc(cc1)Nc1ncc(c(n1)Nc1cccc(c1)NC(=O)C=C)F,emolecules,Mol161,11.4,150,59,52,1.120573931,0.00000114,0.000015,-5.943095149,-4.823908741,1.119186408
320405235,320405235,CN(CCOc1c(ncnc1-c1cc(cc(c1C)NC(=O)c1ccc(cc1F)C1CC1)F)N)C(=O)C=C,emolecules,Mol162,4.1,356,76,91,1.938519725,0.00000041,0.0000356,-6.387216143,-4.448550002,1.938666141
